year,case
2004,17
2005,13
2006,42
2007,94
2008,14
2009,26
2010,13
2011,1
2012,8
2013,89
2014,18
2015,17
2016,32
2017,13
2018,17
2019,7
2020,3
2021,27
2022,15
2023,52
2024,5
2025,30
