year,week,zone,spp,pools_L,pools_G,n_pools,pos_pools_L,pos_pools_G,n_pos_pools,mosq_L,mosq_G,mosq,trap_L,abund,pir,pir_lci,pir_uci,vi,vi_lci,vi_uci
2023,35,BC,Pipiens,2,0,2,0,0,0,30,0,30,5,6,0.0000,0.0000,0.0689,0,0,0.4134
2023,35,BC,Tarsalis,3,0,3,0,0,0,25,0,25,5,5,0.0000,0.0000,0.0937,0,0,0.4685
2023,35,BC,All,5,0,5,0,0,0,55,0,55,10,11,0.0000,0.0000,0.0802,0,0,0.8819
2023,36,NW,Pipiens,3,2,5,0,1,1,4,45,49,9,0.44,0.0242,0.0014,0.1799,0.0106,6.00E-04,0.0792
2023,36,NW,Tarsalis,2,0,2,0,0,0,5,0,5,9,0.56,0.0000,0.0000,0.3454,0,0,0.1934
2023,36,NW,All,5,2,7,0,1,1,9,45,54,18,1,0.0106,0.0006,0.2726,0.0106,6.00E-04,0.2726
2023,36,NE,Pipiens,8,4,12,0,0,0,204,24,228,10,20.4,0.0000,0.0000,0.0130,0,0,0.2652
2023,36,NE,Tarsalis,6,0,6,0,0,0,22,0,22,10,2.2,0.0000,0.0000,0.1194,0,0,0.2627
2023,36,NE,All,14,4,18,0,0,0,226,24,250,20,22.6,0.0000,0.0000,0.0234,0,0,0.5279
2023,36,SE,Pipiens,10,3,13,0,1,1,73,52,125,15,4.87,0.0077,0.0005,0.0365,0.0375,0.0024,0.1778
2023,36,SE,Tarsalis,10,0,10,0,0,0,30,0,30,15,2,0.0000,0.0000,0.1001,0,0,0.2002
2023,36,SE,All,20,3,23,0,1,1,103,52,155,30,6.87,0.0055,0.0003,0.0550,0.0375,0.0024,0.378
2023,36,SW,Pipiens,5,1,6,1,0,1,33,1,34,9,3.67,0.0247,0.0018,0.1075,0.0906,0.0066,0.3945
2023,36,SW,Tarsalis,5,0,5,0,0,0,14,0,14,9,1.56,0.0000,0.0000,0.1654,0,0,0.258
2023,36,SW,All,10,1,11,1,0,1,47,1,48,18,5.23,0.0173,0.0013,0.1248,0.0906,0.0066,0.6525
