6/20/2021,Fort Collins,Lochside Lane,FC NE,Culex tarsalis,18,CDC Light Trap,FC-038
6/20/2021,Fort Collins,422 Lake Dr,FC NE,No Mosquitoes,0,CDC Light Trap,FC-072
6/20/2021,Fort Collins,Linden Lake Rd,FC NE,Culex tarsalis,21,CDC Light Trap,FC-069
6/20/2021,Fort Collins,Linden Lake Rd,FC NE,Culiseta inornata,1,CDC Light Trap,FC-069
6/20/2021,Fort Collins,Linden Lake Rd,FC NE,Aedes increpitus,67,CDC Light Trap,FC-069
6/20/2021,Fort Collins,Linden Lake Rd,FC NE,Aedes vexans,87,CDC Light Trap,FC-069
6/20/2021,Fort Collins,Linden Lake Rd,FC NE,Aedes dorsalis,4,CDC Light Trap,FC-069
6/20/2021,Fort Collins,Redwood Gravid,FC NE,Culex pipiens,1,Gravid Trap,FC-040gr
6/20/2021,Fort Collins,Hemlock,FC NW,Aedes melanimon,4,CDC Light Trap,FC-036 
6/20/2021,Fort Collins,Hemlock,FC NW,Aedes vexans,143,CDC Light Trap,FC-036 
6/20/2021,Fort Collins,Hemlock,FC NW,Culex tarsalis,21,CDC Light Trap,FC-036 
6/20/2021,Fort Collins,Hemlock,FC NW,Culex pipiens,3,CDC Light Trap,FC-036 
6/20/2021,Fort Collins,Hemlock,FC NW,Aedes increpitus,242,CDC Light Trap,FC-036 
6/20/2021,Fort Collins,Country Club,FC NE,Aedes dorsalis,14,CDC Light Trap,FC-034
6/20/2021,Fort Collins,Country Club,FC NE,Anopheles freeborni,1,CDC Light Trap,FC-034
6/20/2021,Fort Collins,Country Club,FC NE,Culiseta inornata,1,CDC Light Trap,FC-034
6/20/2021,Fort Collins,Country Club,FC NE,Culex pipiens,1,CDC Light Trap,FC-034
6/20/2021,Fort Collins,Country Club,FC NE,Aedes vexans,22,CDC Light Trap,FC-034
6/20/2021,Fort Collins,Country Club,FC NE,Culex tarsalis,10,CDC Light Trap,FC-034
6/20/2021,Fort Collins,N. Linden,FC NE,Aedes vexans,5,CDC Light Trap,FC-006
6/20/2021,Fort Collins,N. Linden,FC NE,Culex pipiens,9,CDC Light Trap,FC-006
6/20/2021,Fort Collins,N. Linden,FC NE,Culex tarsalis,5,CDC Light Trap,FC-006
6/20/2021,Fort Collins,N. Linden,FC NE,Aedes increpitus,1,CDC Light Trap,FC-006
6/20/2021,Fort Collins,Redwood,FC NE,Culex tarsalis,1,CDC Light Trap,FC-040
6/20/2021,Fort Collins,Redwood,FC NE,Aedes vexans,2,CDC Light Trap,FC-040
6/20/2021,Fort Collins,Prospect Ponds,FC NE,Aedes increpitus,6,CDC Light Trap,FC-066
6/20/2021,Fort Collins,Prospect Ponds,FC NE,Aedes dorsalis,2,CDC Light Trap,FC-066
6/20/2021,Fort Collins,Prospect Ponds,FC NE,Aedes vexans,8,CDC Light Trap,FC-066
6/20/2021,Fort Collins,Prospect Ponds,FC NE,Aedes melanimon,3,CDC Light Trap,FC-066
6/20/2021,Fort Collins,Prospect Ponds,FC NE,Coquillettidia perturbans,8,CDC Light Trap,FC-066
6/20/2021,Fort Collins,Prospect Ponds,FC NE,Culex tarsalis,4,CDC Light Trap,FC-066
6/20/2021,Fort Collins,Prospect Ponds Gravid,FC NE,Culex pipiens,16,Gravid Trap,FC-066gr
6/20/2021,Fort Collins,Prospect Ponds Gravid,FC NE,Aedes vexans,1,Gravid Trap,FC-066gr
6/20/2021,Fort Collins,Prospect Ponds Gravid,FC NE,Aedes increpitus,3,Gravid Trap,FC-066gr
6/20/2021,Fort Collins,Udall Natural Gravid,FC NE,Culex pipiens,7,Gravid Trap,FC-092gr
6/20/2021,Fort Collins,Lochside Lane,FC NE,Aedes dorsalis,2,CDC Light Trap,FC-038
6/20/2021,Fort Collins,Lochside Lane,FC NE,Aedes melanimon,2,CDC Light Trap,FC-038
6/20/2021,Fort Collins,Lochside Lane,FC NE,Aedes increpitus,33,CDC Light Trap,FC-038
6/20/2021,Fort Collins,Lochside Lane,FC NE,Aedes vexans,31,CDC Light Trap,FC-038
6/20/2021,Fort Collins,Lochside Lane,FC NE,Aedes trivittatus,2,CDC Light Trap,FC-038
6/20/2021,Fort Collins,FC Visitor Center,FC NE,Culex tarsalis,10,CDC Light Trap,FC-014
6/20/2021,Fort Collins,Edora Park,FC NE,Aedes vexans,34,CDC Light Trap,FC-019
6/20/2021,Fort Collins,Edora Park,FC NE,Culex tarsalis,36,CDC Light Trap,FC-019
6/20/2021,Fort Collins,Edora Park,FC NE,Aedes increpitus,164,CDC Light Trap,FC-019
6/20/2021,Fort Collins,Edora Park,FC NE,Culiseta inornata,1,CDC Light Trap,FC-019
6/20/2021,Fort Collins,Edora Park,FC NE,Culex pipiens,2,CDC Light Trap,FC-019
6/20/2021,Fort Collins,FC Visitor Center,FC NE,Aedes melanimon,2,CDC Light Trap,FC-014
6/20/2021,Fort Collins,FC Visitor Center,FC NE,Aedes vexans,6,CDC Light Trap,FC-014
6/20/2021,Fort Collins,FC Visitor Center,FC NE,Aedes dorsalis,3,CDC Light Trap,FC-014
6/20/2021,Fort Collins,PVH Gravid,FC NE,No Mosquitoes,0,Gravid Trap,FC-091gr
6/20/2021,Fort Collins,Poudre River Trail,FC NE,No Mosquitoes,0,CDC Light Trap,FC-067
6/20/2021,Fort Collins,FC Visitor Center,FC NE,Aedes increpitus,37,CDC Light Trap,FC-014
6/21/2021,Fort Collins,Golden Meadows Ditch,FC SE,Culex pipiens,6,CDC Light Trap,FC-050
