"key","trap_id","zone","zone2","year","week","trap_date","method","spp","trap_status","total","source"
"FC004|Pipiens|2020|22","FC-004","FC","FC",2020,22,2020-05-27,"L","Pipiens","culex",0,"vdci"
"FC004|Tarsalis|2020|22","FC-004","FC","FC",2020,22,2020-05-27,"L","Tarsalis","culex",2,"vdci"
"FC036|Pipiens|2020|22","FC-036","FC","FC",2020,22,2020-05-26,"L","Pipiens","culex",0,"vdci"
"FC036|Tarsalis|2020|22","FC-036","FC","FC",2020,22,2020-05-26,"L","Tarsalis","culex",1,"vdci"
"FC046|Pipiens|2020|22","FC-046","FC","FC",2020,22,2020-05-27,"L","Pipiens","culex",0,"vdci"
"FC046|Tarsalis|2020|22","FC-046","FC","FC",2020,22,2020-05-27,"L","Tarsalis","culex",3,"vdci"
"FC053|Pipiens|2020|22","FC-053","FC","FC",2020,22,2020-05-27,"L","Pipiens","culex",0,"vdci"
"FC053|Tarsalis|2020|22","FC-053","FC","FC",2020,22,2020-05-27,"L","Tarsalis","culex",1,"vdci"
"FC059|Pipiens|2020|22","FC-059","FC","FC",2020,22,2020-05-27,"L","Pipiens","culex",0,"vdci"
"FC059|Tarsalis|2020|22","FC-059","FC","FC",2020,22,2020-05-27,"L","Tarsalis","culex",1,"vdci"
"FC064|Pipiens|2020|22","FC-064","FC","FC",2020,22,2020-05-27,"L","Pipiens","culex",0,"vdci"
"FC064|Tarsalis|2020|22","FC-064","FC","FC",2020,22,2020-05-27,"L","Tarsalis","culex",5,"vdci"
"FC069|Pipiens|2020|22","FC-069","FC","FC",2020,22,2020-05-26,"L","Pipiens","culex",0,"vdci"
"FC069|Tarsalis|2020|22","FC-069","FC","FC",2020,22,2020-05-26,"L","Tarsalis","culex",1,"vdci"
"FC075|Pipiens|2020|22","FC-075","FC","FC",2020,22,2020-05-27,"L","Pipiens","culex",0,"vdci"
"FC075|Tarsalis|2020|22","FC-075","FC","FC",2020,22,2020-05-27,"L","Tarsalis","culex",4,"vdci"
"FC075GR|Pipiens|2020|22","FC-075GR","FC","FC",2020,22,2020-05-27,"G","Pipiens","culex",5,"vdci"
"FC075GR|Tarsalis|2020|22","FC-075GR","FC","FC",2020,22,2020-05-27,"G","Tarsalis","culex",0,"vdci"
"FC088GR|Pipiens|2020|22","FC-088GR","FC","FC",2020,22,2020-05-27,"G","Pipiens","culex",9,"vdci"
"FC088GR|Tarsalis|2020|22","FC-088GR","FC","FC",2020,22,2020-05-27,"G","Tarsalis","culex",0,"vdci"
"LC055|Pipiens|2019|28","LC-055","BE","BE",2019,28,2019-07-09,"L","Pipiens","culex",0,"vdci"
"LC055|Tarsalis|2019|28","LC-055","BE","BE",2019,28,2019-07-09,"L","Tarsalis","culex",8,"vdci"
"LC055|Pipiens|2019|29","LC-055","BE","BE",2019,29,2019-07-16,"L","Pipiens","culex",0,"vdci"
"LC055|Tarsalis|2019|29","LC-055","BE","BE",2019,29,2019-07-16,"L","Tarsalis","culex",12,"vdci"
"LC055|Pipiens|2019|30","LC-055","BE","BE",2019,30,2019-07-23,"L","Pipiens","culex",0,"vdci"
"LC055|Tarsalis|2019|30","LC-055","BE","BE",2019,30,2019-07-23,"L","Tarsalis","culex",34,"vdci"
"LC055|Pipiens|2019|31","LC-055","BE","BE",2019,31,2019-07-30,"L","Pipiens","culex",0,"vdci"
"LC055|Tarsalis|2019|31","LC-055","BE","BE",2019,31,2019-07-30,"L","Tarsalis","culex",4,"vdci"
"LC055|Pipiens|2019|32","LC-055","BE","BE",2019,32,2019-08-06,"L","Pipiens","culex",0,"vdci"
"LC055|Tarsalis|2019|32","LC-055","BE","BE",2019,32,2019-08-06,"L","Tarsalis","culex",35,"vdci"
"LC055|Pipiens|2019|33","LC-055","BE","BE",2019,33,2019-08-13,"L","Pipiens","culex",0,"vdci"
"LC055|Tarsalis|2019|33","LC-055","BE","BE",2019,33,2019-08-13,"L","Tarsalis","culex",11,"vdci"
"LC055|Pipiens|2019|34","LC-055","BE","BE",2019,34,2019-08-20,"L","Pipiens","culex",0,"vdci"
"LC055|Tarsalis|2019|34","LC-055","BE","BE",2019,34,2019-08-20,"L","Tarsalis","culex",8,"vdci"
"LC055|Pipiens|2019|35","LC-055","BE","BE",2019,35,2019-08-27,"L","Pipiens","culex",3,"vdci"
"LC055|Tarsalis|2019|35","LC-055","BE","BE",2019,35,2019-08-27,"L","Tarsalis","culex",10,"vdci"
"LV020|Pipiens|2020|22","LV-020","LV","LV",2020,22,2020-05-26,"L","Pipiens","culex",0,"vdci"
"LV020|Tarsalis|2020|22","LV-020","LV","LV",2020,22,2020-05-26,"L","Tarsalis","culex",31,"vdci"
"LV020|Pipiens|2021|22","LV-020","LV","LV",2021,22,2021-06-02,"L","Pipiens","culex",0,"vdci"
"LV020|Tarsalis|2021|22","LV-020","LV","LV",2021,22,2021-06-02,"L","Tarsalis","culex",2,"vdci"
"LV069|Pipiens|2020|22","LV-069","LV","LV",2020,22,2020-05-27,"L","Pipiens","culex",0,"vdci"
"LV069|Tarsalis|2020|22","LV-069","LV","LV",2020,22,2020-05-27,"L","Tarsalis","culex",1,"vdci"
"LV074|Pipiens|2019|24","LV-074","LV","LV",2019,24,2019-06-10,"L","Pipiens","culex",1,"vdci"
"LV074|Tarsalis|2019|24","LV-074","LV","LV",2019,24,2019-06-10,"L","Tarsalis","culex",3,"vdci"
"LV074|Pipiens|2019|25","LV-074","LV","LV",2019,25,2019-06-17,"L","Pipiens","culex",0,"vdci"
"LV074|Tarsalis|2019|25","LV-074","LV","LV",2019,25,2019-06-17,"L","Tarsalis","culex",1,"vdci"
"LV074|Pipiens|2019|26","LV-074","LV","LV",2019,26,2019-06-24,"L","Pipiens","culex",0,"vdci"
"LV074|Tarsalis|2019|26","LV-074","LV","LV",2019,26,2019-06-24,"L","Tarsalis","culex",2,"vdci"
"LV074|Pipiens|2019|27","LV-074","LV","LV",2019,27,2019-07-01,"L","Pipiens","culex",1,"vdci"
"LV074|Tarsalis|2019|27","LV-074","LV","LV",2019,27,2019-07-01,"L","Tarsalis","culex",1,"vdci"
"LV074|Pipiens|2019|28","LV-074","LV","LV",2019,28,2019-07-08,"L","Pipiens","culex",5,"vdci"
"LV074|Tarsalis|2019|28","LV-074","LV","LV",2019,28,2019-07-08,"L","Tarsalis","culex",20,"vdci"
"LV074|Pipiens|2019|29","LV-074","LV","LV",2019,29,2019-07-15,"L","Pipiens","culex",7,"vdci"
"LV074|Tarsalis|2019|29","LV-074","LV","LV",2019,29,2019-07-15,"L","Tarsalis","culex",34,"vdci"
"LV074|Pipiens|2019|30","LV-074","LV","LV",2019,30,2019-07-22,"L","Pipiens","culex",2,"vdci"
"LV074|Tarsalis|2019|30","LV-074","LV","LV",2019,30,2019-07-22,"L","Tarsalis","culex",35,"vdci"
"LV074|Pipiens|2019|31","LV-074","LV","LV",2019,31,2019-07-29,"L","Pipiens","culex",3,"vdci"
"LV074|Tarsalis|2019|31","LV-074","LV","LV",2019,31,2019-07-29,"L","Tarsalis","culex",74,"vdci"
"LV074|Pipiens|2019|32","LV-074","LV","LV",2019,32,2019-08-05,"L","Pipiens","culex",0,"vdci"
"LV074|Tarsalis|2019|32","LV-074","LV","LV",2019,32,2019-08-05,"L","Tarsalis","culex",18,"vdci"
"LV074|Pipiens|2019|33","LV-074","LV","LV",2019,33,2019-08-12,"L","Pipiens","culex",13,"vdci"
"LV074|Tarsalis|2019|33","LV-074","LV","LV",2019,33,2019-08-12,"L","Tarsalis","culex",21,"vdci"
"LV074|Pipiens|2019|34","LV-074","LV","LV",2019,34,2019-08-19,"L","Pipiens","culex",32,"vdci"
"LV074|Tarsalis|2019|34","LV-074","LV","LV",2019,34,2019-08-19,"L","Tarsalis","culex",57,"vdci"
"LV074|Pipiens|2019|35","LV-074","LV","LV",2019,35,2019-08-26,"L","Pipiens","culex",19,"vdci"
"LV074|Tarsalis|2019|35","LV-074","LV","LV",2019,35,2019-08-26,"L","Tarsalis","culex",48,"vdci"
"LV074|Pipiens|2020|23","LV-074","LV","LV",2020,23,2020-06-01,"L","Pipiens","culex",0,"vdci"
"LV074|Tarsalis|2020|23","LV-074","LV","LV",2020,23,2020-06-01,"L","Tarsalis","culex",6,"vdci"
"LV074|Pipiens|2020|25","LV-074","LV","LV",2020,25,2020-06-15,"L","Pipiens","culex",1,"vdci"
"LV074|Tarsalis|2020|25","LV-074","LV","LV",2020,25,2020-06-15,"L","Tarsalis","culex",2,"vdci"
"LV074|Pipiens|2020|26","LV-074","LV","LV",2020,26,2020-06-22,"L","Pipiens","culex",1,"vdci"
"LV074|Tarsalis|2020|26","LV-074","LV","LV",2020,26,2020-06-22,"L","Tarsalis","culex",15,"vdci"
"LV074|Pipiens|2020|27","LV-074","LV","LV",2020,27,2020-06-29,"L","Pipiens","culex",5,"vdci"
"LV074|Tarsalis|2020|27","LV-074","LV","LV",2020,27,2020-06-29,"L","Tarsalis","culex",39,"vdci"
"LV074|Pipiens|2020|28","LV-074","LV","LV",2020,28,2020-07-06,"L","Pipiens","culex",11,"vdci"
"LV074|Tarsalis|2020|28","LV-074","LV","LV",2020,28,2020-07-06,"L","Tarsalis","culex",38,"vdci"
"LV074|Pipiens|2020|29","LV-074","LV","LV",2020,29,2020-07-13,"L","Pipiens","culex",21,"vdci"
"LV074|Tarsalis|2020|29","LV-074","LV","LV",2020,29,2020-07-13,"L","Tarsalis","culex",24,"vdci"
"LV074|Pipiens|2020|30","LV-074","LV","LV",2020,30,2020-07-20,"L","Pipiens","culex",0,"vdci"
"LV074|Tarsalis|2020|30","LV-074","LV","LV",2020,30,2020-07-20,"L","Tarsalis","culex",11,"vdci"
"LV074|Pipiens|2020|31","LV-074","LV","LV",2020,31,2020-07-27,"L","Pipiens","culex",0,"vdci"
"LV074|Tarsalis|2020|31","LV-074","LV","LV",2020,31,2020-07-27,"L","Tarsalis","culex",3,"vdci"
