"zone","start_year","start_week","end_week"
"BC",2021,24,37
"BE",2013,23,35
"LV",2013,22,36
"NE",2012,22,37
"NW",2012,22,37
"SE",2012,22,37
"SW",2012,22,37
NA,2025,33,33
